Strike                   Symbol                   Last                     Chg                      Bid                      Ask                      Vol                      Open Int                 

450.00                   AAPL7140228C00450000     75.34                     8.13                    73.40                    77.45                    3                        2                        
460.00                   AAPL140228C00460000      81.18                     0.00                    64.45                    66.30                    10                       17                       
470.00                   AAPL140228C00470000      56.71                     22.58                   54.45                    56.40                    10                       41                       
470.00                   AAPL7140228C00470000     70.00                     0.00                    53.20                    57.50                    2                        2                        
475.00                   AAPL140228C00475000      74.18                     0.00                    49.25                    51.30                    17                       18                       
475.00                   AAPL7140228C00475000     56.70                     0.00                    48.60                    52.55                    1                        11                       
480.00                   AAPL140228C00480000      51.56                     0.00                    44.25                    46.30                    2                        60                       
480.00                   AAPL7140228C00480000     50.67                     0.00                    43.20                    47.60                    1                        1                        
485.00                   AAPL140228C00485000      44.75                     0.00                    39.35                    41.30                    6                        23                       
485.00                   AAPL7140228C00485000     51.20                     0.00                    38.65                    42.60                    4                        2                        
487.50                   AAPL140228C00487500      41.65                     0.00                    36.80                    38.80                    1                        6                        
490.00                   AAPL140228C00490000      35.61                     7.78                    34.70                    35.85                    11                       1,306                    
490.00                   AAPL7140228C00490000     48.00                     0.00                    34.15                    37.65                    12                       6                        
492.50                   AAPL140228C00492500      33.12                     10.28                   32.35                    33.40                    9                        37                       
495.00                   AAPL140228C00495000      36.25                     0.00                    29.80                    31.30                    2                        85                       
495.00                   AAPL7140228C00495000     32.98                     5.08                    28.35                    32.60                    2                        5                        
497.50                   AAPL140228C00497500      34.07                     0.00                    27.40                    28.50                    1                        56                       
497.50                   AAPL7140228C00497500     45.30                     0.00                    26.05                    30.30                    2                        41                       
500.00                   AAPL140228C00500000      25.65                     5.95                    25.40                    26.10                    255                      935                      
500.00                   AAPL7140228C00500000     49.30                     0.00                    23.60                    27.75                    8                        20                       
502.50                   AAPL140228C00502500      25.80                     15.06                   22.85                    23.65                    3                        81                       
502.50                   AAPL7140228C00502500     38.30                     0.00                    21.10                    25.30                    10                       22                       
505.00                   AAPL140228C00505000      21.00                     5.70                    20.75                    21.30                    39                       759                      
505.00                   AAPL7140228C00505000     44.80                     0.00                    19.30                    23.00                    1                        12                       
507.50                   AAPL140228C00507500      19.50                     6.10                    18.35                    19.05                    8                        194                      
