Strike                   Symbol                   Last                     Chg                      Bid                      Ask                      Vol                      Open Int                 

450.00                   AAPL140228P00450000      0.09                      0.03                    0.03                     0.10                     1,077                    448                      
460.00                   AAPL140228P00460000      0.07                      0.00                    0.04                     0.11                     277                      259                      
460.00                   AAPL7140228P00460000     2.30                      0.00                    N/A                      0.50                     2                        12                       
470.00                   AAPL140228P00470000      0.14                      0.06                    N/A                      0.17                     124                      585                      
470.00                   AAPL7140228P00470000     0.20                      0.00                    N/A                      0.49                     1                        12                       
472.50                   AAPL140228P00472500      0.05                      0.00                    0.01                     0.19                     6                        72                       
475.00                   AAPL140228P00475000      0.19                      0.10                    0.11                     0.20                     285                      527                      
475.00                   AAPL7140228P00475000     0.78                      0.00                    N/A                      0.50                     2                        8                        
477.50                   AAPL140228P00477500      0.17                      0.11                    N/A                      0.21                     11                       78                       
480.00                   AAPL140228P00480000      0.22                      0.13                    0.20                     0.23                     191                      571                      
480.00                   AAPL7140228P00480000     0.10                      0.00                    N/A                      0.50                     12                       22                       
482.50                   AAPL140228P00482500      0.21                      0.08                    0.19                     0.25                     3                        73                       
482.50                   AAPL7140228P00482500     8.50                      0.00                    0.10                     0.27                     10                       10                       
485.00                   AAPL140228P00485000      0.26                      0.11                    0.21                     0.31                     185                      781                      
485.00                   AAPL7140228P00485000     2.55                      0.00                    0.09                     0.29                     10                       11                       
487.50                   AAPL140228P00487500      0.25                      0.13                    0.23                     0.29                     46                       243                      
487.50                   AAPL7140228P00487500     0.10                      0.00                    0.09                     0.35                     1                        11                       
490.00                   AAPL140228P00490000      0.27                      0.09                    0.25                     0.31                     182                      934                      
490.00                   AAPL7140228P00490000     1.75                      0.00                    0.13                     0.38                     1                        55                       
492.50                   AAPL140228P00492500      0.34                      0.11                    0.09                     0.34                     76                       724                      
492.50                   AAPL7140228P00492500     10.20                     0.00                    N/A                      0.44                     2                        2                        
495.00                   AAPL140228P00495000      0.41                      0.17                    0.40                     0.41                     441                      994                      
495.00                   AAPL7140228P00495000     0.67                      0.00                    N/A                      0.49                     10                       12                       
497.50                   AAPL140228P00497500      0.47                      0.16                    0.36                     0.48                     693                      654                      
497.50                   AAPL7140228P00497500     11.37                     0.00                    N/A                      0.52                     1                        1                        
500.00                   AAPL140228P00500000      0.52                      0.17                    0.48                     0.53                     1,583                    1,588                    
500.00                   AAPL7140228P00500000     0.30                      0.00                    0.05                     0.59                     1                        64                       
502.50                   AAPL140228P00502500      0.65                      0.21                    0.63                     0.67                     998                      454                      
502.50                   AAPL7140228P00502500     4.00                      0.00                    N/A                      0.78                     1                        11                       
505.00                   AAPL140228P00505000      0.80                      0.31                    0.72                     0.83                     1,113                    912                      
505.00                   AAPL7140228P00505000     0.69                      0.00                    N/A                      0.93                     1                        14                       
507.50                   AAPL140228P00507500      1.02                      0.38                    0.97                     1.06                     1,345                    615                      
507.50                   AAPL7140228P00507500     5.45                      0.00                    N/A                      1.15                     1                        1                        
510.00                   AAPL140228P00510000      1.31                      0.50                    1.28                     1.39                     2,169                    2,408                    
510.00                   AAPL7140228P00510000     1.30                      0.26                    N/A                      1.44                     4                        47                       
512.50                   AAPL140228P00512500      1.70                      0.64                    1.65                     1.79                     1,285                    828                      
512.50                   AAPL7140228P00512500     1.35                      0.15                    N/A                      1.85                     6                        11                       
515.00                   AAPL140228P00515000      2.25                      0.94                    2.18                     2.28                     2,867                    3,029                    
515.00                   AAPL7140228P00515000     2.00                      0.34                    2.09                     2.37                     9                        9                        
517.50                   AAPL140228P00517500      3.01                      1.26                    2.81                     2.90                     1,635                    860                      
517.50                   AAPL7140228P00517500     2.68                      0.00                    2.73                     3.05                     2                        2                        
520.00                   AAPL140228P00520000      3.70                      1.56                    3.60                     3.75                     4,128                    2,377                    
520.00                   AAPL7140228P00520000     3.81                      1.41                    3.50                     3.85                     17                       79                       
522.50                   AAPL140228P00522500      4.75                      1.95                    4.55                     4.80                     1,613                    771                      
522.50                   AAPL7140228P00522500     4.95                      1.60                    2.50                     5.10                     11                       1                        
525.00                   AAPL140228P00525000      5.80                      2.25                    5.70                     5.95                     3,834                    2,267                    
525.00                   AAPL7140228P00525000     5.53                      1.48                    3.95                     6.15                     30                       12                       
527.50                   AAPL140228P00527500      7.00                      2.43                    7.00                     7.20                     1,653                    759                      
527.50                   AAPL7140228P00527500     7.10                      1.40                    5.00                     8.40                     21                       27                       
530.00                   AAPL140228P00530000      8.60                      3.22                    8.50                     8.65                     2,863                    2,373                    
530.00                   AAPL7140228P00530000     6.46                      0.86                    6.70                     10.10                    23                       73                       
532.50                   AAPL140228P00532500      10.30                     3.70                    10.05                    10.45                    1,115                    817                      
532.50                   AAPL7140228P00532500     7.95                      0.95                    8.10                     12.00                    10                       18                       
535.00                   AAPL140228P00535000      12.00                     4.00                    12.00                    12.25                    2,336                    1,806                    
535.00                   AAPL7140228P00535000     10.49                     0.89                    10.05                    12.50                    21                       58                       
537.50                   AAPL140228P00537500      14.15                     4.60                    13.85                    14.20                    445                      572                      
537.50                   AAPL7140228P00537500     13.00                     5.03                    12.05                    15.50                    7                        8                        
540.00                   AAPL140228P00540000      16.18                     5.01                    15.85                    16.35                    940                      1,274                    
540.00                   AAPL7140228P00540000     13.50                     2.04                    14.10                    17.20                    10                       29                       
542.50                   AAPL140228P00542500      17.50                     4.05                    18.00                    18.75                    186                      644                      
542.50                   AAPL7140228P00542500     16.30                     0.60                    16.30                    19.40                    2                        10                       
545.00                   AAPL140228P00545000      20.10                     4.76                    20.30                    20.85                    248                      2,104                    
545.00                   AAPL7140228P00545000     19.00                     5.35                    18.65                    21.95                    11                       30                       
547.50                   AAPL140228P00547500      21.44                     2.70                    22.60                    23.40                    74                       284                      
547.50                   AAPL7140228P00547500     51.50                     0.00                    20.75                    24.95                    1                        5                        
550.00                   AAPL140228P00550000      25.50                     6.10                    25.00                    25.70                    260                      842                      
550.00                   AAPL7140228P00550000     19.45                     4.45                    23.15                    26.40                    7                        22                       
552.50                   AAPL140228P00552500      26.30                     6.33                    27.40                    28.15                    6                        134                      
555.00                   AAPL140228P00555000      30.28                     5.47                    29.80                    30.25                    123                      436                      
555.00                   AAPL7140228P00555000     23.12                     1.29                    28.15                    32.30                    1                        3                        
557.50                   AAPL140228P00557500      16.00                     0.00                    31.55                    33.20                    6                        63                       
557.50                   AAPL7140228P00557500     28.95                     2.85                    30.35                    33.80                    5                        10                       
560.00                   AAPL140228P00560000      35.19                     4.19                    34.80                    35.45                    93                       165                      
560.00                   AAPL7140228P00560000     29.20                     0.60                    32.90                    36.80                    5                        2                        
562.50                   AAPL140228P00562500      32.61                     2.71                    37.15                    38.40                    1                        75                       
565.00                   AAPL140228P00565000      38.40                     3.87                    39.00                    40.70                    31                       44                       
565.00                   AAPL7140228P00565000     29.18                     0.00                    37.90                    42.30                    2                        5                        
567.50                   AAPL140228P00567500      36.96                     3.81                    41.00                    43.35                    1                        16                       
570.00                   AAPL140228P00570000      43.26                     3.91                    43.50                    45.85                    75                       119                      
572.50                   AAPL140228P00572500      45.91                     15.26                   45.90                    49.05                    3                        6                        
575.00                   AAPL140228P00575000      49.59                     21.39                   48.45                    51.90                    5                        10                       
577.50                   AAPL140228P00577500      38.30                     0.00                    50.95                    54.40                    16                       16                       
580.00                   AAPL140228P00580000      35.70                     0.00                    53.40                    56.85                    1                        23                       
585.00                   AAPL140228P00585000      42.00                     0.00                    58.35                    61.85                    16                       19                       
585.00                   AAPL7140228P00585000     50.48                     0.00                    57.80                    62.20                    1                        1                        
590.00                   AAPL140228P00590000      39.90                     0.00                    63.40                    66.85                    29                       29                       
600.00                   AAPL140228P00600000      74.70                     18.10                   73.35                    76.90                    5                        11                       
610.00                   AAPL140228P00610000      80.20                     0.00                    83.40                    86.90                    1                        11                       
630.00                   AAPL7140228P00630000     134.60                    0.00                    102.80                   107.15                   10                       10                       

